8.46292	0.243462	0	0	8.46292	0.243462	8.6	0.25	-3.00029	0
8.44827	0.251501	-0.209221	0.114847	8.44818	0.251553	8.45	0.25	-3.00027	0
8.44827	0.251501	-0.209221	0.114847	8.56759	0.241943	8.45	0.25	0	0
8.45561	0.254064	0.0681496	0.0272102	8.45582	0.253997	8.45	0.25	0	0
8.45561	0.254064	0.0681496	0.0272102	8.42544	0.254042	8.35	0.25	-1.81979	0
8.27423	0.250383	-1.00551	-0.0107179	8.23962	0.24916	8.25	0.25	-1.81978	0
8.27423	0.250383	-1.00551	-0.0107179	7.93286	0.188391	8.05	0.2	-3.99976	-0.99994
7.94202	0.187073	-1.98927	-0.275029	7.84073	0.159858	7.85	0.15	-3.99972	-0.99993
7.94202	0.187073	-1.98927	-0.275029	7.61269	0.155818	7.7	0.15	-2.99982	0
7.62067	0.159612	-2.42341	-0.274874	7.54016	0.159641	7.55	0.15	-2.99982	0
7.62067	0.159612	-2.42341	-0.274874	7.50815	0.0953827	7.45	0.100001	-1.8165	-0.908239
7.34756	0.0763196	-2.44344	-0.443711	7.3426	0.0345312	7.35	0.0500011	-1.81648	-0.90823
7.34756	0.0763196	-2.44344	-0.443711	7.20598	0.00492725	7.2	9.49949e-07	-2.72851	-0.909507
7.0658	-0.01513	-2.48357	-0.574404	7.05406	-0.0533413	7.05	-0.0499992	-2.72849	-0.909499
7.0658	-0.01513	-2.48357	-0.574404	6.74585	-0.143185	6.95	-0.15	-1.81898	-1.81898
6.82178	-0.170296	-2.39474	-0.855649	6.84972	-0.258748	6.85	-0.25	-1.81896	-1.81897
6.82178	-0.170296	-2.39474	-0.855649	6.66966	-0.346668	6.75	-0.349999	-2.00076	-2.00075
6.61203	-0.356465	-2.30328	-1.16623	6.64329	-0.462604	6.65	-0.449999	-2.00076	-2.00075
6.61203	-0.356465	-2.30328	-1.16623	6.60862	-0.557035	6.6	-0.549999	-0.998836	-1.99769
6.46668	-0.557901	-2.03813	-1.42963	6.56029	-0.650892	6.55	-0.65	-0.99884	-1.99769
